Lane,Sample,CSFID,Flowcell,Cluster,Sequencing,Date
1,1,1,HMKLNBBXX,,,171108
1,2,1,HMKLNBBXX,,,171108
1,3,1,HMKLNBBXX,,,171108
1,4,1,HMKLNBBXX,,,171108
1,5,1,HMKLNBBXX,,,171108
1,6,1,HMKLNBBXX,,,171108
1,7,1,HMKLNBBXX,,,171108
2,8,1,HMKLNBBXX,,,171108
2,9,1,HMKLNBBXX,,,171108
2,10,1,HMKLNBBXX,,,171108
2,11,1,HMKLNBBXX,,,171108
2,12,1,HMKLNBBXX,,,171108
2,13,1,HMKLNBBXX,,,171108
2,14,1,HMKLNBBXX,,,171108
3,71,1,HMKLNBBXX,,,171108
3,72,1,HMKLNBBXX,,,171108
3,73,1,HMKLNBBXX,,,171108
3,74,1,HMKLNBBXX,,,171108
3,75,1,HMKLNBBXX,,,171108
3,76,1,HMKLNBBXX,,,171108
3,77,1,HMKLNBBXX,,,171108
4,78,1,HMKLNBBXX,,,171108
4,79,1,HMKLNBBXX,,,171108
4,80,1,HMKLNBBXX,,,171108
4,81,1,HMKLNBBXX,,,171108
4,82,1,HMKLNBBXX,,,171108
4,83,1,HMKLNBBXX,,,171108
4,84,1,HMKLNBBXX,,,171108
5,141,1,HMKLNBBXX,,,171108
5,142,1,HMKLNBBXX,,,171108
5,143,1,HMKLNBBXX,,,171108
5,144,1,HMKLNBBXX,,,171108
5,145,1,HMKLNBBXX,,,171108
5,146,1,HMKLNBBXX,,,171108
5,147,1,HMKLNBBXX,,,171108
6,148,1,HMKLNBBXX,,,171108
6,149,1,HMKLNBBXX,,,171108
6,150,1,HMKLNBBXX,,,171108
6,151,1,HMKLNBBXX,,,171108
6,152,1,HMKLNBBXX,,,171108
6,153,1,HMKLNBBXX,,,171108
6,154,1,HMKLNBBXX,,,171108
7,15,1,HMKLNBBXX,,,171108
7,16,1,HMKLNBBXX,,,171108
7,17,1,HMKLNBBXX,,,171108
7,18,1,HMKLNBBXX,,,171108
7,19,1,HMKLNBBXX,,,171108
7,20,1,HMKLNBBXX,,,171108
7,21,1,HMKLNBBXX,,,171108
7,22,1,HMKLNBBXX,,,171108
8,23,1,HMKLNBBXX,,,171108
8,24,1,HMKLNBBXX,,,171108
8,25,1,HMKLNBBXX,,,171108
8,26,1,HMKLNBBXX,,,171108
8,27,1,HMKLNBBXX,,,171108
8,28,1,HMKLNBBXX,,,171108
8,29,1,HMKLNBBXX,,,171108
8,30,1,HMKLNBBXX,,,171108
